Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,9,196,5,Some Random Commen with Id 0
1,0,9,124,5,Some Random Commen with Id 1
2,0,9,70,7,Some Random Commen with Id 2
3,0,9,132,4,Some Random Commen with Id 3
4,1,2,145,7,Some Random Commen with Id 4
5,1,2,137,3,Some Random Commen with Id 5
6,1,2,9,4,Some Random Commen with Id 6
7,1,2,199,9,Some Random Commen with Id 7
8,1,2,123,9,Some Random Commen with Id 8
9,1,2,61,6,Some Random Commen with Id 9
10,1,2,0,8,Some Random Commen with Id 10
11,1,2,93,0,Some Random Commen with Id 11
12,2,8,27,8,Some Random Commen with Id 12
13,2,8,152,8,Some Random Commen with Id 13
14,2,8,148,7,Some Random Commen with Id 14
15,3,3,101,8,Some Random Commen with Id 15
16,3,3,158,4,Some Random Commen with Id 16
17,3,3,61,4,Some Random Commen with Id 17
18,3,3,2,9,Some Random Commen with Id 18
19,3,3,120,8,Some Random Commen with Id 19
20,4,5,89,5,Some Random Commen with Id 20
21,4,5,115,4,Some Random Commen with Id 21
22,4,5,116,9,Some Random Commen with Id 22
23,4,5,56,5,Some Random Commen with Id 23
24,4,5,69,0,Some Random Commen with Id 24
25,4,5,95,6,Some Random Commen with Id 25
26,5,8,92,6,Some Random Commen with Id 26
27,5,8,142,3,Some Random Commen with Id 27
28,5,8,184,4,Some Random Commen with Id 28
29,5,8,176,1,Some Random Commen with Id 29
30,5,8,33,1,Some Random Commen with Id 30
31,5,8,108,2,Some Random Commen with Id 31
32,7,3,0,6,Some Random Commen with Id 32
33,7,3,88,5,Some Random Commen with Id 33
34,8,5,33,3,Some Random Commen with Id 34
35,8,5,115,7,Some Random Commen with Id 35
36,8,5,39,8,Some Random Commen with Id 36
37,8,5,35,8,Some Random Commen with Id 37
38,9,9,49,5,Some Random Commen with Id 38
39,9,9,182,4,Some Random Commen with Id 39
40,9,9,42,7,Some Random Commen with Id 40
41,9,9,132,2,Some Random Commen with Id 41
42,10,9,21,6,Some Random Commen with Id 42
43,10,9,48,6,Some Random Commen with Id 43
44,10,9,79,4,Some Random Commen with Id 44
45,10,9,156,0,Some Random Commen with Id 45
46,10,9,71,1,Some Random Commen with Id 46
47,10,9,75,5,Some Random Commen with Id 47
48,10,9,9,5,Some Random Commen with Id 48
49,10,9,173,7,Some Random Commen with Id 49
50,11,8,60,5,Some Random Commen with Id 50
51,11,8,34,0,Some Random Commen with Id 51
52,11,8,114,8,Some Random Commen with Id 52
53,11,8,24,2,Some Random Commen with Id 53
54,11,8,101,6,Some Random Commen with Id 54
55,12,1,98,9,Some Random Commen with Id 55
56,12,1,54,8,Some Random Commen with Id 56
57,12,1,43,7,Some Random Commen with Id 57
58,12,1,47,1,Some Random Commen with Id 58
59,12,1,102,2,Some Random Commen with Id 59
60,12,1,153,0,Some Random Commen with Id 60
61,13,8,71,9,Some Random Commen with Id 61
62,13,8,137,2,Some Random Commen with Id 62
63,13,8,46,5,Some Random Commen with Id 63
64,15,6,18,9,Some Random Commen with Id 64
65,15,6,81,8,Some Random Commen with Id 65
66,15,6,24,5,Some Random Commen with Id 66
67,15,6,38,2,Some Random Commen with Id 67
68,15,6,167,6,Some Random Commen with Id 68
69,15,6,178,6,Some Random Commen with Id 69
70,15,6,82,4,Some Random Commen with Id 70
71,15,6,69,0,Some Random Commen with Id 71
72,16,4,12,2,Some Random Commen with Id 72
73,17,5,49,0,Some Random Commen with Id 73
74,17,5,53,2,Some Random Commen with Id 74
75,17,5,51,8,Some Random Commen with Id 75
76,17,5,135,2,Some Random Commen with Id 76
77,17,5,178,7,Some Random Commen with Id 77
78,18,4,67,2,Some Random Commen with Id 78
79,18,4,189,9,Some Random Commen with Id 79
80,18,4,140,9,Some Random Commen with Id 80
81,18,4,38,8,Some Random Commen with Id 81
82,19,0,57,2,Some Random Commen with Id 82
83,19,0,68,6,Some Random Commen with Id 83
84,19,0,51,8,Some Random Commen with Id 84
85,19,0,76,4,Some Random Commen with Id 85
86,19,0,66,0,Some Random Commen with Id 86
87,19,0,48,2,Some Random Commen with Id 87
88,19,0,75,5,Some Random Commen with Id 88
89,19,0,177,8,Some Random Commen with Id 89
90,20,3,90,5,Some Random Commen with Id 90
91,20,3,123,4,Some Random Commen with Id 91
92,20,3,188,7,Some Random Commen with Id 92
